    0,  28,  28
    1,  12,  12
    2,  28,  28
    3,  28,  28
    4,  18,  18
    5,  28,  28
    6,   9,   9
    7,  28,  28
    8,  28,  28
    9,  28,  28
   10,  28,  28
   11,  28,  28
   12,  28,  28
   13,  28,  28
   14,  28,  28
   15,  28,  28
   16,  28,  28
   17,  28,  28
   18,  28,  28
   19,  28,  28
   20,  26,  26
   21,  28,  28
   22,  28,  28
   23,  11,  11
   24,  29,  29
   25,   7,   7
   26,  22,  22
   27,   8,   8
   28,  18,  18
   29,  10,  10
   30,  26,  26
   31,  10,  10
   32,  32,  32
   33,  28,  28
   34,   7,   7
   35,  28,  28
   36,  30,  30
   37,  28,  28
   38,  28,  28
   39,  28,  28
   40,  28,  28
   41,  16,  16
   42,  28,  28
   43,  28,  28
   44,  28,  28
   45,  28,  28
   46,  28,  28
   47,  28,  28
   48,  28,  28
   49,  28,  28
   50,  20,  20
   51,  28,  28
   52,  43,  43
   53,  28,  28
   54,  22,  22
   55,  15,  15
   56,  18,  18
   57,  13,  13
   58,  17,  17
   59,  11,  11
   60,  10,  10
   61,  22,  22
   62,  14,  14
   63,  20,  20
   64,  19,  19
   65,  11,  11
   66,  11,  11
   67,  14,  14
   68,  11,  11
   69,   8,   8
   70,  11,  11
   71,  13,  13
   72,   8,   8
   73,  16,  16
   74,  20,  20
   75,  28,  28
   76,  28,  28
   77,   7,   7
   78,  28,  28
   79,  28,  28
   80,  28,  28
   81,  28,  28
   82,  28,  28
   83,  26,  26
   84,  10,  10
   85,  22,  22
   86,  30,  30
   87,  29,  29
   88,  11,  11
   89,  11,  11
   90,  15,  15
   91,  15,  15
   92,  13,  13
   93,  28,  28
   94,  28,  28
   95,  28,  28
   96,  28,  28
   97,  28,  28
   98,  28,  28
   99,  28,  28
  100,  21,  21
  101,  16,  16
  102,  18,  18
  103,  23,  23
  104,  24,  24
  105,  28,  28
  106,  14,  14
  107,  30,  30
  108,  22,  22
  109,  30,  30
  110,  29,  29
  111,  28,  28
  112,   9,   9
  113,   8,   8
  114,   9,   9
  115,  15,  15
  116,   8,   8
  117,   9,   9
  118,  18,  18
  119,  30,  30
  120,  17,  17
  121,  17,  17
  122,  38,  38
  123,  32,  32
  124,   7,   7
  125,   8,   8
  126,   8,   8
  127,   8,   8
  128,   8,   8
  129,  38,  38
  130,  24,  24
  131,  40,  40
  132,  10,  10
  133,  11,  11
  134,  11,  11
  135,   6,   6
  136,  17,  17
  137,  12,  12
  138,   6,   6
  139,   8,   8
  140,  17,  17
  141,   8,   8
  142,   8,   8
  143,   8,   8
  144,   9,   9
  145,   7,   7
  146,   9,   9
  147,   8,   8
  148,  11,  11
  149,   8,   8
  150,   8,   8
  151,   7,   7
  152,  17,  17
  153,   8,   8
  154,  14,  14
  155,   9,   9
  156,   7,   7
  157,   5,   5
  158,  28,  28
  159,  28,  28
  160,  13,  13
  161,  34,  34
  162,  17,  17
  163,   7,   7
  164,  28,  28
  165,  28,  28
  166,  28,  28
  167,  28,  28
  168,  12,  12
  169,  32,  32
  170,  26,  26
  171,  23,  23
  172,  28,  28
  173,  28,  28
  174,  10,  10
  175,   9,   9
  176,   8,   8
  177,   5,   5
  178,   8,   8
  179,  11,  11
  180,   8,   8
  181,  13,  13
  182,  11,  11
  183,  11,  11
  184,  11,  11
  185,  20,  20
  186,  17,  17
  187,  24,  24
  188,  18,  18
  189,  20,  20
  190,  23,  23
  191,  20,  20
  192,  10,  10
  193,   7,   7
  194,  23,  23
  195,  10,  10
  196,  11,  11
  197,  28,  28
  198,  28,  28
  199,  14,  14
  200,  23,  23
  201,   9,   9
  202,  11,  11
  203,  28,  28
  204,  15,  15
  205,  28,  28
  206,  28,  28
  207,  28,  28
  208,  20,  20
  209,  28,  28
  210,  17,  17
  211,  14,  14
  212,  28,  28
  213,  28,  28
  214,  14,  14
  215,   9,   9
  216,  11,  11
  217,   8,   8
  218,  11,  11
  219,   7,   7
  220,  23,  23
  221,   9,   9
  222,   8,   8
  223,  10,  10
  224,   8,   8
  225,  22,  22
  226,  11,  11
  227,   8,   8
  228,  40,  40
  229,  26,  26
  230,   6,   6
  231,  43,  43
  232,  12,  12
  233,  10,  10
  234,  16,  16
  235,  17,  17
  236,  28,  28
  237,  47,  47
  238,   5,   5
  239,   6,   6
  240,  14,  14
  241,  10,  10
  242,  24,  24
  243,  17,  17
  244,   8,   8
  245,   8,   8
  246,  16,  16
  247,  22,  22
  248,  16,  16
  249,  17,  17
  250,   7,   7
  251,  13,  13
  252,  10,  10
  253,   8,   8
  254,  16,  16
  255,  17,  17
  256,  10,  10
  257,   8,   8
  258,  10,  10
  259,  18,  18
  260,  17,  17
  261,   7,   7
  262,  12,  12
  263,   8,   8
  264,   5,   5
  265,   8,   8
  266,   5,   5
  267,   7,   7
  268,  14,  14
  269,   5,   5
  270,   6,   6
  271,  10,  10
  272,   7,   7
  273,  12,  12
  274,  13,  13
  275,  29,  29
  276,  15,  15
  277,  13,  13
  278,  14,  14
  279,   8,   8
  280,   8,   8
  281,   7,   7
  282,   8,   8
  283,   6,   6
  284,   8,   8
  285,  23,  23
  286,  12,  12
  287,  23,  23
  288,  26,  26
  289,  20,  20
  290,  10,  10
  291,  11,  11
  292,  24,  24
  293,   8,   8
  294,  11,  11
  295,  11,  11
  296,  47,  47
  297,  30,  30
  298,   7,   7
  299,   8,   8
  300,   7,   7
  301,   5,   5
  302,  16,  16
  303,   7,   7
