X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y
216.333	101.333	87	26275.2	1153.56	0.547876	0.83656	0.83656	-0.547876
216	95.3333	58	90333	15102.7	0.166206	-0.986091	-0.986091	-0.166206
218.667	103.333	91	9279.66	2233.89	0.410657	0.91179	0.91179	-0.410657
220.333	101.667	88	9592.22	2401.22	0.40915	0.912467	0.912467	-0.40915
223.333	103	80	10480.3	1228.54	0.314318	-0.949318	-0.949318	-0.314318
220	108	88	12968.1	1089.4	0.300696	-0.95372	-0.95372	-0.300696
221	98.6667	86	15353.3	9510.05	0.966061	-0.258314	-0.258314	-0.966061
216	109.333	83	18212.1	3231.72	0.0630978	0.998007	0.998007	-0.0630978
225	97.3333	109	23491.7	3664.28	0.791597	-0.611043	-0.611043	-0.791597
224.667	95	117	40287.5	3023.41	0.793496	-0.608575	-0.608575	-0.793496
226.333	99.3333	107	19633.4	1069.75	0.412252	-0.91107	-0.91107	-0.412252
224.667	101.333	94	14970.9	1066.81	0.35055	-0.936544	-0.936544	-0.35055
228.667	104.667	81	16719.1	2075.78	0.0774224	-0.996998	-0.996998	-0.0774224
228.333	100.333	107	18283.9	771.815	0.349687	-0.936867	-0.936867	-0.349687
229.667	114.333	104	9709.75	983.953	0.217191	0.976129	0.976129	-0.217191
225.333	105.333	79	13301.4	2812.04	0.053594	-0.998563	-0.998563	-0.053594
230.667	98.3333	107	10485.5	2381.01	0.388966	-0.921252	-0.921252	-0.388966
223.333	99.3333	94	19189.8	3300.74	0.844758	-0.535149	-0.535149	-0.844758
211.333	97.3333	37	44880.2	1352.44	0.491291	0.870996	0.870996	-0.491291
223.667	108.667	85	16000.1	2941.96	0.0892534	-0.996009	-0.996009	-0.0892534
218.333	113.333	109	29131.7	3354.04	0.552797	0.833316	0.833316	-0.552797
219	110.333	87	23011.4	2621.67	0.0345457	0.999403	0.999403	-0.0345457
219.667	119.667	120	14184	5458.22	0.287399	0.957811	0.957811	-0.287399
217.667	127.667	90	10564.2	646.604	0.57654	0.817069	0.817069	-0.57654
213.667	128	103	21386.5	3532.18	0.92514	0.379626	0.379626	-0.92514
216.667	115.667	109	26013.7	4539.79	0.505519	0.862816	0.862816	-0.505519
220.667	113	107	22087.7	4235.96	0.040856	0.999165	0.999165	-0.040856
215.333	111.333	79	30273.3	6491.72	0.437869	0.899039	0.899039	-0.437869
224.667	116.667	100	4757.97	2838.78	0.914559	-0.404453	-0.404453	-0.914559
224.333	114.667	104	13051.3	2092	0.228755	-0.973484	-0.973484	-0.228755
225	119	99	7033.98	3360.22	0.812012	0.58364	0.58364	-0.812012
217	122	116	22114.3	3207.77	0.461341	0.887223	0.887223	-0.461341
224.333	124.667	90	6733.99	738.014	0.658145	0.752891	0.752891	-0.658145
220	124.333	103	15350	782.125	0.647624	0.76196	0.76196	-0.647624
226.667	121.667	91	6599.03	814.898	0.652623	0.757683	0.757683	-0.652623
220	130	90	2185.26	192.735	0.197987	0.980205	0.980205	-0.197987
229.667	120	90	3882.28	559.246	0.082573	-0.996585	-0.996585	-0.082573
219.333	117.333	113	12004.7	4840.08	0.00684028	-0.999977	-0.999977	-0.00684028
226.333	112.667	102	17412.1	1925.15	0.0141811	-0.999899	-0.999899	-0.0141811
226	128	88	2390.38	418.374	0.176693	0.984266	0.984266	-0.176693
230.667	106	86	9925.28	2879.21	0.198474	0.980106	0.980106	-0.198474
214.667	103.667	91	20771.8	4254.67	0.686032	0.727571	0.727571	-0.686032
220.667	95	85	45021.9	8982.15	0.854741	-0.519054	-0.519054	-0.854741
212.667	134.333	91	14735.9	2188.59	0.64985	0.760062	0.760062	-0.64985
230	90	129	41388.7	7586.25	0.604899	-0.796302	-0.796302	-0.604899
199.667	91.6667	26	45579.2	931.466	0.00646477	0.999979	0.999979	-0.00646477
235.333	67	156	49850.7	1191.73	0.99388	0.110461	0.110461	-0.99388
230.333	66	115	31249.8	2427.57	0.999085	-0.0427669	-0.0427669	-0.999085
238.333	72	145	36044.1	668.869	0.945764	0.324853	0.324853	-0.945764
235.667	69.6667	155	38472.8	1151.13	0.988506	0.15118	0.15118	-0.988506
242.333	72	115	34262.6	3464.97	0.950159	0.311765	0.311765	-0.950159
236	75	144	16147.9	639.427	0.925608	0.378485	0.378485	-0.925608
238.667	65.3333	155	48175.3	4181.62	0.999567	0.0294259	0.0294259	-0.999567
231.333	74	141	14621.2	1771.06	0.605653	0.795729	0.795729	-0.605653
244.667	63	109	24015.5	5348.2	0.963684	-0.267044	-0.267044	-0.963684
231.333	60	119	35288.4	2274.46	0.992661	-0.120929	-0.120929	-0.992661
244.333	69	102	26963.9	3139.56	0.973051	0.23059	0.23059	-0.973051
247	70	85	10476.8	6446.65	0.564491	-0.825439	-0.825439	-0.564491
247	73.3333	96	12313.1	1051.48	0.332682	-0.943039	-0.943039	-0.332682
244	74.3333	101	14338.1	5556.37	0.906637	0.421911	0.421911	-0.906637
248.333	64	92	7690.79	5073.46	0.963844	-0.266466	-0.266466	-0.963844
243	66	120	39786.9	4435.69	0.996937	0.078215	0.078215	-0.996937
237.333	61.6667	162	31604.8	7181.84	0.991561	-0.129641	-0.129641	-0.991561
243	77	95	28496.3	14069.7	0.486064	-0.873923	-0.873923	-0.486064
236.667	80.6667	137	33121.2	6506.93	0.319875	-0.94746	-0.94746	-0.319875
238	77.3333	130	19839.1	8523.01	0.998163	-0.0605927	-0.0605927	-0.998163
237	88.3333	75	56956.7	4615.87	0.0336155	-0.999435	-0.999435	-0.0336155
238.333	86.6667	81	74212.4	4805.35	0.0876427	-0.996152	-0.996152	-0.0876427
238.667	91	103	33263.7	8938.35	0.00849346	0.999964	0.999964	-0.00849346
234.333	88	85	64114.6	4468.14	0.329821	-0.944044	-0.944044	-0.329821
238.667	83	133	68945.4	6296.27	0.291316	-0.956627	-0.956627	-0.291316
233.333	82	132	35630.3	3183.91	0.0935972	0.99561	0.99561	-0.0935972
242	83.6667	132	81636.5	2918.09	0.288394	-0.957512	-0.957512	-0.288394
241	81.3333	132	72154.9	4598.52	0.43188	-0.901931	-0.901931	-0.43188
245	79	91	46338.8	670.52	0.474196	-0.880419	-0.880419	-0.474196
244	82.3333	125	63101.5	3558.25	0.363807	-0.931474	-0.931474	-0.363807
243.333	88.6667	98	59730.9	3230.87	0.0915849	0.995797	0.995797	-0.0915849
241.667	87	96	74291.2	5784.29	0.0541702	-0.998532	-0.998532	-0.0541702
244.667	87	99	50357.4	4523.62	0.0856805	0.996323	0.996323	-0.0856805
242.667	91	121	39722	6667.88	0.193689	0.981063	0.981063	-0.193689
245	84	122	45302.3	8797.69	0.0931671	-0.99565	-0.99565	-0.0931671
240.333	88.3333	83	68764.1	7286.38	0.0507552	0.998711	0.998711	-0.0507552
241	78	107	39119.5	15295.9	0.661213	-0.750198	-0.750198	-0.661213
240.667	91	112	40739.4	4868.61	0.365281	0.930897	0.930897	-0.365281
247.333	78	87	22283.7	772.261	0.490613	-0.871378	-0.871378	-0.490613
233	90.3333	108	45405	8926.7	0.509048	-0.860738	-0.860738	-0.509048
253.333	73	92	11691	4266.25	0.25429	-0.967128	-0.967128	-0.25429
249.333	68	86	8085.75	6357.39	0.197837	-0.980235	-0.980235	-0.197837
249.333	80.3333	91	16286.5	593.315	0.555737	-0.831358	-0.831358	-0.555737
248	80	90	29888.6	558.024	0.544297	-0.838893	-0.838893	-0.544297
250.667	75.6667	102	13530.1	996.926	0.389292	-0.921114	-0.921114	-0.389292
251	79	94	11256.2	677.09	0.471339	-0.881952	-0.881952	-0.471339
253.333	69	73	8460.08	3861.96	0.0560086	-0.99843	-0.99843	-0.0560086
246.667	82.6667	113	32011	9829.15	0.306457	-0.951885	-0.951885	-0.306457
259.667	67	95	7276.39	2780.99	0.98991	-0.141696	-0.141696	-0.98991
254.667	64	86	5097.38	1940.01	0.443457	-0.896295	-0.896295	-0.443457
259.667	73.3333	113	32209.9	4819.1	0.0793774	-0.996845	-0.996845	-0.0793774
255.333	75.3333	105	19829.8	4247.75	0.0425522	-0.999094	-0.999094	-0.0425522
253.667	79.6667	90	22201	1528.35	0.17128	-0.985222	-0.985222	-0.17128
257	75.6667	115	39813.4	3250.3	0.0183524	0.999832	0.999832	-0.0183524
260.667	76.6667	113	50257.2	2806.26	0.00271952	-0.999996	-0.999996	-0.00271952
256.333	80.3333	87	42581	589.479	0.0483925	-0.998828	-0.998828	-0.0483925
260.333	64.3333	92	6150.92	888.524	0.818453	-0.574573	-0.574573	-0.818453
256	67.3333	81	5636.49	1777.75	0.94549	0.325651	0.325651	-0.94549
250	61.3333	86	9915.17	938.466	0.391969	-0.919978	-0.919978	-0.391969
260.333	80.3333	87	47451.6	1036.04	0.0533539	0.998576	0.998576	-0.0533539
247.667	84	109	26217.1	7940.67	0.293515	0.955955	0.955955	-0.293515
249	83	104	18743.5	6072.68	0.178215	-0.983992	-0.983992	-0.178215
250.333	86.3333	88	23101.8	2329.34	0.13014	0.991496	0.991496	-0.13014
250.333	84	103	18016	2786.81	0.160418	0.987049	0.987049	-0.160418
251.333	87.6667	85	22480.4	391.679	0.07674	-0.997051	-0.997051	-0.07674
248.333	86.3333	94	29949.3	3505.58	0.32966	0.9441	0.9441	-0.32966
251.667	83	98	12799.4	1149.12	0.245723	-0.96934	-0.96934	-0.245723
247	88	92	37859.6	4058.75	0.117079	0.993123	0.993123	-0.117079
254.667	81.3333	82	21749.8	1079.9	0.15235	-0.988327	-0.988327	-0.15235
258.667	81.6667	82	31946.3	613.639	0.0725249	-0.997367	-0.997367	-0.0725249
257.667	84	90	10001.6	335.439	0.281135	-0.959668	-0.959668	-0.281135
254.667	83.6667	95	8952.17	311.597	0.400034	-0.9165	-0.9165	-0.400034
254.333	88.6667	92	16047.4	306.474	0.129874	-0.991531	-0.991531	-0.129874
253	86.6667	85	14901.8	489.971	0.0658897	-0.997827	-0.997827	-0.0658897
257.333	89.6667	95	10553.2	388.771	0.136217	-0.990679	-0.990679	-0.136217
250	90	100	19365.8	4544.21	0.297111	-0.954843	-0.954843	-0.297111
259.333	87	96	8270.71	494.689	0.164544	-0.98637	-0.98637	-0.164544
253.333	84.3333	98	10068.9	1027.63	0.199027	-0.979994	-0.979994	-0.199027
252	80.6667	88	12421.9	593.555	0.425618	-0.904903	-0.904903	-0.425618
247.667	90.3333	107	29509.7	5422.83	0.174311	-0.984691	-0.984691	-0.174311
262.333	80.3333	85	42698.1	1649.98	0.239181	0.970975	0.970975	-0.239181
248.333	75	99	11156.7	926.098	0.325738	-0.94546	-0.94546	-0.325738
257	62.3333	91	5049.12	1599.13	0.554009	-0.83251	-0.83251	-0.554009
254	91.3333	104	15635.9	444.567	0.124112	-0.992268	-0.992268	-0.124112
233.333	100.333	102	6759.39	3373.24	0.693566	-0.720393	-0.720393	-0.693566
234	92.6667	111	21239.1	9785.92	0.371254	-0.928531	-0.928531	-0.371254
236.667	107	100	9603.58	3103.19	0.273397	-0.961901	-0.961901	-0.273397
233	103.667	92	7194.1	3137.27	0.730365	-0.683057	-0.683057	-0.730365
236	104.333	104	9595.19	2590.42	0.738312	-0.674459	-0.674459	-0.738312
235.333	109.667	95	6927.31	3060.4	0.129959	-0.991519	-0.991519	-0.129959
235.667	99	105	6857.76	2087.83	0.98212	0.188259	0.188259	-0.98212
232.333	109.333	98	8409.84	3529.84	0.235655	0.971837	0.971837	-0.235655
241.333	102	123	6419.9	3540.24	0.45239	-0.89182	-0.89182	-0.45239
237.667	96	105	8903.31	1521.89	0.966929	0.255047	0.255047	-0.966929
241.667	108	107	20904.9	732.717	0.592808	-0.805344	-0.805344	-0.592808
243.333	105.667	119	15326.1	828.476	0.642114	-0.766609	-0.766609	-0.642114
239	111	85	14657.6	1248.43	0.213672	-0.976905	-0.976905	-0.213672
239.333	108	103	15340.6	1627.23	0.343827	-0.939033	-0.939033	-0.343827
241.667	98	124	7650.72	1751.24	0.975574	0.219669	0.219669	-0.975574
237.667	102	117	9104.83	4148.47	0.749024	-0.662543	-0.662543	-0.749024
237	93	104	19542.4	6363.18	0.374024	-0.927419	-0.927419	-0.374024
242.333	111	91	16176	2053.33	0.562554	-0.82676	-0.82676	-0.562554
234.667	116.667	103	5605.14	2322.88	0.630997	-0.775785	-0.775785	-0.630997
232	113	104	9637.4	2477.7	0.0121094	0.999927	0.999927	-0.0121094
236.667	127.667	121	9092.24	3553.41	0.999846	0.0175441	0.0175441	-0.999846
234.333	120.667	98	8064.5	2294.52	0.931776	0.363032	0.363032	-0.931776
238	123.333	116	19937	1810.61	0.999651	0.026398	0.026398	-0.999651
231.667	127.667	96	7795.95	2417.84	0.996702	0.0811547	0.0811547	-0.996702
237	115.667	103	8123.57	2676.23	0.39013	-0.92076	-0.92076	-0.39013
231.667	122.667	94	6080.3	2213.64	0.899106	0.43773	0.43773	-0.899106
240.333	115.333	98	8409.2	876.575	0.173697	-0.984799	-0.984799	-0.173697
237.333	112.333	87	11707.9	1327.04	0.184185	-0.982892	-0.982892	-0.184185
242.333	117	100	4434.64	2122.2	0.0303106	0.999541	0.999541	-0.0303106
239.667	121	112	16023.2	1435.9	0.987332	-0.158666	-0.158666	-0.987332
239	126.333	126	18385.1	3255.93	0.999728	-0.0233033	-0.0233033	-0.999728
242.667	120.667	102	15269.9	2150.24	0.981161	-0.193192	-0.193192	-0.981161
246	123	85	28574.2	2823.7	0.932308	-0.361666	-0.361666	-0.932308
242.333	128	115	36037.9	2131.89	0.997474	-0.0710282	-0.0710282	-0.997474
244.667	116	99	8138.91	3989.79	0.992718	-0.120466	-0.120466	-0.992718
238.333	117.333	105	6416.14	2526.14	0.314637	-0.949212	-0.949212	-0.314637
240.667	112.333	85	12949.8	1064.64	0.261819	-0.965117	-0.965117	-0.261819
236.667	130.333	115	9810.31	1314.78	0.819161	-0.573564	-0.573564	-0.819161
244.333	113	94	15372.8	3699.82	0.827946	-0.560808	-0.560808	-0.827946
231	94.6667	120	11614.2	7667.8	0.933761	-0.357898	-0.357898	-0.933761
245.333	97.3333	129	11614.1	1396.5	0.997306	-0.0733533	-0.0733533	-0.997306
252	96.6667	100	9503.8	2644.76	0.999417	0.0341349	0.0341349	-0.999417
250	102	114	13317.7	1885.39	0.991805	0.127761	0.127761	-0.991805
249.333	99.3333	118	9454.39	2065.87	0.99397	0.109654	0.109654	-0.99397
254.667	102.667	86	16212.7	7522.78	0.961091	-0.276233	-0.276233	-0.961091
249.333	108.333	124	35652.1	3191.17	0.967549	-0.252682	-0.252682	-0.967549
250.333	94.3333	108	13402.4	1573.17	0.953086	-0.302698	-0.302698	-0.953086
246	94	126	17405	1715.04	0.978002	-0.208593	-0.208593	-0.978002
257	94.6667	104	7588.05	572.335	0.00279691	0.999996	0.999996	-0.00279691
251.333	91.6667	103	11988.5	4167.82	0.482691	-0.875791	-0.875791	-0.482691
262.667	93	107	8970.64	1566.4	0.167177	-0.985927	-0.985927	-0.167177
261	95	109	7416.51	2402.13	0.44858	-0.893743	-0.893743	-0.44858
258.667	100	88	17202.2	2237.8	0.434457	-0.900693	-0.900693	-0.434457
259	96	103	10712.8	1862	0.244375	-0.969681	-0.969681	-0.244375
260.667	101.333	98	18606.7	5396.46	0.771924	-0.635714	-0.635714	-0.771924
256.333	100.333	85	12758.9	4920.86	0.260906	-0.965364	-0.965364	-0.260906
260.333	107.667	64	36750.2	1376.54	0.624762	-0.780815	-0.780815	-0.624762
254.333	97	99	6992.31	2783.38	0.301577	0.953442	0.953442	-0.301577
257	92.3333	107	10140.8	527.736	0.127482	-0.991841	-0.991841	-0.127482
254.667	106.333	79	33322.1	5569.35	0.965586	-0.260084	-0.260084	-0.965586
248.667	120.667	94	20848.1	3730.37	0.755276	-0.655407	-0.655407	-0.755276
251	115.667	124	32242.6	3843.05	0.821995	-0.569494	-0.569494	-0.821995
249	128.333	65	63129.5	3999.66	0.985239	-0.171183	-0.171183	-0.985239
246	126.667	73	48137.6	3291.62	0.979003	-0.203847	-0.203847	-0.979003
253.667	126	113	54305.2	6491	0.912402	-0.409296	-0.409296	-0.912402
243	131.667	103	40667.3	1724.21	0.999961	-0.00882981	-0.00882981	-0.999961
252.333	120.333	111	26184.6	5688.19	0.884348	-0.466828	-0.466828	-0.884348
247.667	117.333	108	11080.8	5091.83	0.81026	-0.586071	-0.586071	-0.81026
255.667	112.667	81	45520.1	3028.88	0.89818	-0.439629	-0.439629	-0.89818
257.333	109.333	68	30240.5	5387.64	0.883513	-0.468406	-0.468406	-0.883513
256.667	115.333	85	35223.9	3721.26	0.88195	-0.471342	-0.471342	-0.88195
254	116.667	112	32807.1	5786.78	0.86471	-0.502271	-0.502271	-0.86471
257	126.333	119	49407.5	6301.01	0.917355	-0.398069	-0.398069	-0.917355
258	118.333	83	27816.2	4914.35	0.816529	-0.577304	-0.577304	-0.816529
261.333	125	93	27160.9	937.998	0.741146	-0.671344	-0.671344	-0.741146
255	122	112	36572.5	4572.25	0.849606	-0.527418	-0.527418	-0.849606
261	117.667	74	43264.3	9272.93	0.945564	-0.325436	-0.325436	-0.945564
251.667	113	115	46034.6	2522.84	0.932071	-0.362275	-0.362275	-0.932071
248	111.667	116	33009.2	2579.06	0.948205	-0.31766	-0.31766	-0.948205
256	132.333	130	72005.9	1170.29	0.988723	-0.149756	-0.149756	-0.988723
258	129	132	56958.5	2551.29	0.975366	-0.220595	-0.220595	-0.975366
247	105.667	125	17013.2	3391.6	0.936721	-0.350078	-0.350078	-0.936721
244.667	91.6667	129	21475.6	9847.69	0.270076	-0.962839	-0.962839	-0.270076
234.333	128.667	103	11512.8	2977.43	0.9867	-0.162552	-0.162552	-0.9867
263	87.3333	98	7464.6	1786.7	0.0485686	0.99882	0.99882	-0.0485686
230.667	70.6667	129	25065.9	7512.75	0.929828	0.367994	0.367994	-0.929828
242.667	60.3333	104	45717.1	17802.8	0.828803	0.55954	0.55954	-0.828803
247.333	132	62	68337.4	1067.41	0.998851	-0.0479149	-0.0479149	-0.998851
261.333	47.3333	77	3484.47	969.005	0.0889447	-0.996037	-0.996037	-0.0889447
201	51.3333	113	12273.7	3541.76	0.605547	0.79581	0.79581	-0.605547
202.667	131	160	35326.8	6268.5	0.394561	0.91887	0.91887	-0.394561
145	138.667	98	3670.67	2609.76	0.976904	-0.21368	-0.21368	-0.976904
148.667	135.667	104	5146.6	2521.74	0.525947	0.850517	0.850517	-0.525947
146.333	141	95	4502.86	924.023	0.706555	-0.707658	-0.707658	-0.706555
148.333	142	91	7352.09	1451.21	0.184376	-0.982856	-0.982856	-0.184376
147.333	145	103	7608.77	452.349	0.0213341	-0.999772	-0.999772	-0.0213341
145	145.333	104	4445.62	472.729	0.357749	-0.933818	-0.933818	-0.357749
150.333	140.333	98	11434.6	1610.98	0.338364	-0.941015	-0.941015	-0.338364
145.333	136.333	102	3195.5	2571.16	0.746375	0.665526	0.665526	-0.746375
154.667	136	125	19050.7	2924.76	0.0551743	0.998477	0.998477	-0.0551743
149	132.333	103	7527.37	1200.99	0.362144	0.932122	0.932122	-0.362144
152.667	142.333	98	12335.3	2015.55	0.0630423	-0.998011	-0.998011	-0.0630423
153.333	137.667	115	16400.1	3177.04	0.243098	-0.970002	-0.970002	-0.243098
157	137.333	130	28088.6	1394.95	0.0538959	-0.998547	-0.998547	-0.0538959
154.667	140.667	103	17087.1	1955.66	0.25971	-0.965687	-0.965687	-0.25971
158.333	136	130	28584.6	1059.07	0.029941	-0.999552	-0.999552	-0.029941
151	137.333	112	9146.16	3710.2	0.304024	-0.952664	-0.952664	-0.304024
154.333	133	107	12380.4	951.92	0.312083	0.950055	0.950055	-0.312083
157	140.667	105	23553.5	1510.38	0.0741196	-0.997249	-0.997249	-0.0741196
147	155.333	109	2211.93	481.143	0.204722	0.97882	0.97882	-0.204722
148.667	147	109	6363.67	461.167	0.0573975	0.998351	0.998351	-0.0573975
148.667	162.333	107	2899.28	195.798	0.0397895	0.999208	0.999208	-0.0397895
145.667	160	108	2792.52	263.969	0.117764	0.993042	0.993042	-0.117764
152	160.333	112	2449.26	659.062	0.0248986	-0.99969	-0.99969	-0.0248986
148	166	116	2949.81	466.169	0.106729	-0.994288	-0.994288	-0.106729
151.667	154.667	108	2999.35	582.465	0.42532	0.905043	0.905043	-0.42532
146	151.333	109	3043.11	553.848	0.0788192	0.996889	0.996889	-0.0788192
157.333	145.667	117	5659.38	238.492	0.2702	0.962804	0.962804	-0.2702
158	152.667	105	6419.87	136.762	0.199883	0.97982	0.97982	-0.199883
156.667	153	105	5558.85	252.772	0.3644	0.931243	0.931243	-0.3644
154	151.667	107	2450.93	359.181	0.559034	0.829145	0.829145	-0.559034
154	162.667	113	1975.51	796.494	0.22418	-0.974548	-0.974548	-0.22418
153.667	157.333	109	3026.85	931.638	0.374263	0.927323	0.927323	-0.374263
156.667	155.667	116	5675.91	778.346	0.375545	0.926804	0.926804	-0.375545
156.667	161	111	1596.6	778.934	0.279637	-0.960106	-0.960106	-0.279637
157.667	157	119	4572.48	635.152	0.255036	0.966932	0.966932	-0.255036
154	148	108	4100.12	325.415	0.407732	0.913102	0.913102	-0.407732
152	146	111	8364.67	507.576	0.249757	0.968308	0.968308	-0.249757
152.667	166.667	117	3598.79	325.914	0.00162017	0.999999	0.999999	-0.00162017
158.333	142	104	17087.1	576.411	0.0688218	0.997629	0.997629	-0.0688218
144	166.667	109	1983.19	704.666	0.404115	-0.914708	-0.914708	-0.404115
161.667	136.333	124	25341.4	3596.3	0.149512	-0.98876	-0.98876	-0.149512
158.667	133.333	108	17742.4	1051.73	0.0415042	-0.999138	-0.999138	-0.0415042
161.667	141.667	104	13987.6	483.137	0.197734	0.980256	0.980256	-0.197734
160.333	140.333	112	23736.5	727.002	0.112484	0.993654	0.993654	-0.112484
163.333	140.333	108	17414.4	699.241	0.270254	0.962789	0.962789	-0.270254
162.667	144.333	110	4365.67	198.817	0.058132	-0.998309	-0.998309	-0.058132
163.333	136.667	124	21745.8	4687.12	0.261013	-0.965335	-0.965335	-0.261013
160.333	146.667	112	2592.13	199.486	0.00459387	-0.999989	-0.999989	-0.00459387
167	137	109	11398.4	1863.55	0.403389	-0.915029	-0.915029	-0.403389
164	134.333	104	15727.2	842.566	0.540021	-0.841652	-0.841652	-0.540021
165.667	134.667	103	10100.9	871.984	0.509838	-0.86027	-0.86027	-0.509838
169.333	137	105	8186.59	512.389	0.191509	-0.981491	-0.981491	-0.191509
164.667	141.667	103	10607.6	742.967	0.172326	0.98504	0.98504	-0.172326
166	138	113	11861.4	3699.12	0.0589205	-0.998263	-0.998263	-0.0589205
168.667	138	108	7744.74	1087.86	0.0652496	-0.997869	-0.997869	-0.0652496
166.333	140.333	104	11860	666.514	0.256628	0.96651	0.96651	-0.256628
170.667	137	105	9163.51	378.358	0.0798438	0.996807	0.996807	-0.0798438
164	138	119	19029.3	4105.38	0.0982074	0.995166	0.995166	-0.0982074
169.667	134.667	96	9425.45	402.745	0.21982	-0.97554	-0.97554	-0.21982
169	140.333	99	11509.9	500.067	0.0458545	0.998948	0.998948	-0.0458545
163.667	150.333	108	4571.55	410.607	0.0185354	0.999828	0.999828	-0.0185354
160.333	150.333	109	3681.18	224.718	0.0703542	0.997522	0.997522	-0.0703542
160.667	156.333	119	4184.75	1143.62	0.0171351	0.999853	0.999853	-0.0171351
159	155.667	118	7305.77	111.816	0.203389	0.979098	0.979098	-0.203389
163	153.333	109	4283.84	1259.84	0.104885	-0.994484	-0.994484	-0.104885
163.333	159	112	1507.22	963.894	0.524774	-0.851242	-0.851242	-0.524774
166.333	145.667	115	7932.54	245.583	0.0241311	-0.999709	-0.999709	-0.0241311
164.667	144.333	111	6349.79	236.295	0.0358548	-0.999357	-0.999357	-0.0358548
166.333	148	108	5142.84	351.647	0.101928	-0.994792	-0.994792	-0.101928
167.667	144.333	113	13696.4	125.049	0.029005	-0.999579	-0.999579	-0.029005
169.667	148	107	7325.84	597.731	0.0894302	0.995993	0.995993	-0.0894302
167.667	149.333	104	7127.3	336.863	0.00999053	-0.99995	-0.99995	-0.00999053
170.333	163.667	113	847.783	96.384	0.502512	0.86457	0.86457	-0.502512
167.667	152.333	112	4790.82	693.229	0.201335	0.979522	0.979522	-0.201335
169.667	160	115	1726.29	115.222	0.590654	0.806925	0.806925	-0.590654
166.333	158	111	1767.81	1227.15	0.866357	0.499425	0.499425	-0.866357
169.667	145.333	117	10995.4	601.763	0.00257235	-0.999997	-0.999997	-0.00257235
165.667	154	109	2271.62	1804.27	0.00513618	-0.999987	-0.999987	-0.00513618
167.667	141.667	100	12943.6	461.759	0.0541398	0.998533	0.998533	-0.0541398
158.667	164.333	115	1516.97	531.817	0.089311	0.996004	0.996004	-0.089311
170.333	153.333	113	4101.35	1287.61	0.176191	0.984356	0.984356	-0.176191
160.333	137.667	129	30423.8	1600.08	0.0146288	0.999893	0.999893	-0.0146288
161	133.667	112	18604.6	726.336	0.371704	-0.928351	-0.928351	-0.371704
163	163	115	1427.18	181.552	0.352357	0.935866	0.935866	-0.352357
145.333	170	107	3520.58	667.939	0.456608	-0.889668	-0.889668	-0.456608
146	167.333	112	2518.53	613.347	0.564849	-0.825194	-0.825194	-0.564849
145.667	172	105	3670.07	350.598	0.349167	-0.937061	-0.937061	-0.349167
147	172.667	107	3180.84	164.131	0.492044	-0.87057	-0.87057	-0.492044
148	176	111	2329.75	203.078	0.442052	-0.89699	-0.89699	-0.442052
146	177.667	113	1872.66	326.393	0.620013	-0.784591	-0.784591	-0.620013
149	171.333	110	3879.33	455.531	0.220866	-0.975304	-0.975304	-0.220866
143.333	169.333	104	3052.98	691.53	0.333989	-0.942577	-0.942577	-0.333989
152.333	173	104	3907.93	164.607	0.174773	0.984609	0.984609	-0.174773
154	171.333	108	3470.4	238.231	0.134357	0.990933	0.990933	-0.134357
151.667	176.333	111	2365.56	192.108	0.244811	0.969571	0.969571	-0.244811
149.667	176.333	111	2513.33	339.688	0.127755	-0.991806	-0.991806	-0.127755
152.333	183	113	2168.32	573.044	0.310536	-0.950562	-0.950562	-0.310536
146	182.333	115	1553.12	312.601	0.692933	-0.721002	-0.721002	-0.692933
152.667	179	117	2148.63	381.474	0.165524	0.986206	0.986206	-0.165524
150.333	173	103	4041.97	325.908	0.0396295	-0.999214	-0.999214	-0.0396295
150	168	114	4163.45	418.495	0.0408024	-0.999167	-0.999167	-0.0408024
149.667	184.667	112	1767.58	347.83	0.594895	-0.803803	-0.803803	-0.594895
146.667	189.667	116	4861.28	203.903	0.355911	-0.93452	-0.93452	-0.355911
149	187.667	111	2619.63	307.353	0.510249	-0.860027	-0.860027	-0.510249
145	194	108	7866.71	1205.59	0.210134	-0.977673	-0.977673	-0.210134
145.333	190.333	116	5703.81	197.627	0.356043	-0.93447	-0.93447	-0.356043
147	193.667	107	13168.7	364.282	0.189743	-0.981834	-0.981834	-0.189743
145.667	198.333	115	18578.5	1444.73	0.485908	-0.87401	-0.87401	-0.485908
147.333	191.333	120	9741.57	227.384	0.220462	-0.975396	-0.975396	-0.220462
144	188.667	117	3017.35	438.265	0.263046	-0.964783	-0.964783	-0.263046
149.667	192	120	13888.6	249.986	0.130716	-0.99142	-0.99142	-0.130716
149	190.667	121	8573.25	177.505	0.184886	-0.98276	-0.98276	-0.184886
153	190.667	115	5107.31	851.73	0.148049	0.98898	0.98898	-0.148049
151	191.667	119	10519.2	968.33	0.0155011	-0.99988	-0.99988	-0.0155011
150	195	104	15546.6	472.881	0.154909	-0.987929	-0.987929	-0.154909
149	194	104	18134.3	365.548	0.16677	-0.985996	-0.985996	-0.16677
151	193.667	108	11591.1	945.709	0.0110514	0.999939	0.999939	-0.0110514
150	197	116	10633.8	1006.37	0.104237	-0.994552	-0.994552	-0.104237
152.333	194.667	107	6001.97	723.541	0.150446	0.988618	0.988618	-0.150446
