X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y
14.3333	51.6667	2	5199.39	1086.32	0.714264	0.699877	0.699877	-0.714264
16	49.3333	6	4077.06	1039.59	0.687626	0.726065	0.726065	-0.687626
14.3333	58.6667	2	6539.49	1737.91	0.867191	0.497976	0.497976	-0.867191
10.3333	56.3333	0	5428.03	982.061	0.941113	0.338091	0.338091	-0.941113
10.6667	63.3333	0	4935.22	765.186	0.999987	-0.00508958	-0.00508958	-0.999987
8	62	0	3949.08	152.083	0.992612	0.121331	0.121331	-0.992612
14.6667	61.6667	8	5487.88	2079.82	0.981668	0.190601	0.190601	-0.981668
10.3333	67	0	2112.24	1092.02	0.978891	0.204384	0.204384	-0.978891
16	56	13	4666.38	689.134	0.55443	0.83223	0.83223	-0.55443
10.6667	52.3333	0	4398.8	707.75	0.73995	0.672662	0.672662	-0.73995
8.33333	50	0	2333.51	469.444	0.814677	0.579914	0.579914	-0.814677
4	68	0	0.0149975	0.00100253	0.740544	-0.672008	-0.672008	-0.740544
15.6667	37.6667	9	14386.5	5775.18	0.00169069	0.999999	0.999999	-0.00169069
19	37.3333	9	15521.1	1354.85	0.0162559	0.999868	0.999868	-0.0162559
17.6667	36.3333	15	18195.2	2210.95	0.0697365	-0.997565	-0.997565	-0.0697365
18.3333	45.3333	2	2602.92	990.914	0.4493	0.893381	0.893381	-0.4493
19.6667	40.6667	2	12092.1	715.633	0.123795	0.992308	0.992308	-0.123795
21	39.6667	6	7661.28	849.489	0.147181	0.98911	0.98911	-0.147181
22	46	1	1844.17	193.767	0.473963	0.880545	0.880545	-0.473963
23.3333	42	1	2699.84	601.353	0.0770094	-0.99703	-0.99703	-0.0770094
18.3333	42.3333	3	7901.73	1252.34	0.030545	0.999533	0.999533	-0.030545
24.6667	52	2	13576.3	381.683	0.0695818	-0.997576	-0.997576	-0.0695818
22.3333	49.6667	2	6700.11	641.083	0.0223889	0.999749	0.999749	-0.0223889
27.6667	52	6	9689.15	263.018	0.049339	-0.998782	-0.998782	-0.049339
22.6667	57	20	16697.3	654.983	0.272893	-0.962044	-0.962044	-0.272893
26.6667	56.6667	15	13503.8	1803.36	0.0146026	-0.999893	-0.999893	-0.0146026
23.6667	56	18	18754.8	604.515	0.160064	-0.987107	-0.987107	-0.160064
28	55.3333	5	11678	753.633	0.1614	-0.986889	-0.986889	-0.1614
28.6667	57.6667	7	6553.08	2534.89	0.00789276	-0.999969	-0.999969	-0.00789276
30.6667	49	2	3587.08	1153	0.287689	-0.957724	-0.957724	-0.287689
19	56	6	7564.06	1120.88	0.0689861	0.997618	0.997618	-0.0689861
27.3333	42	3	3467.07	890.119	0.122571	0.99246	0.99246	-0.122571
20.6667	58	2	11957.2	1298.33	0.166823	-0.985987	-0.985987	-0.166823
20.6667	62	4	6070.1	2599.89	0.133962	0.990986	0.990986	-0.133962
20.6667	60	9	7302.25	2711.75	0.123068	-0.992398	-0.992398	-0.123068
20	66	2	11636.7	1193.5	0.00252931	-0.999997	-0.999997	-0.00252931
19.3333	64	5	8987.42	1500.53	0.0812577	0.996693	0.996693	-0.0812577
23	65.6667	5	8008.97	1620.03	0.156323	-0.987706	-0.987706	-0.156323
18.6667	67.6667	15	12882.4	596.078	0.0634307	0.997986	0.997986	-0.0634307
23	62.3333	14	5287.09	4154.01	0.513245	0.858242	0.858242	-0.513245
16.6667	64	7	6141.4	1540.17	0.242917	0.970047	0.970047	-0.242917
25.3333	59.6667	7	9375	3735.74	0.0861354	0.996283	0.996283	-0.0861354
25.3333	57.3333	20	16599.6	1629.48	0.0566815	-0.998392	-0.998392	-0.0566815
29.3333	59.3333	2	5724.66	1393.49	0.332374	0.943148	0.943148	-0.332374
28.3333	61.3333	3	6203.74	1102.82	0.485569	0.874198	0.874198	-0.485569
26.6667	64	7	4669.59	708.538	0.968593	0.24865	0.24865	-0.968593
26.6667	61.6667	2	7033.43	1839.21	0.698851	0.715268	0.715268	-0.698851
28.6667	65.3333	11	3395.32	1541.71	0.716463	0.697625	0.697625	-0.716463
24.6667	64	6	4361.62	3696.27	0.583603	-0.812039	-0.812039	-0.583603
29.6667	63	9	2486.26	1811.96	0.0498726	0.998756	0.998756	-0.0498726
23.6667	60.3333	6	6694.23	4305.23	0.145573	-0.989348	-0.989348	-0.145573
22.6667	59	6	12082.4	2028.4	0.316571	-0.948569	-0.948569	-0.316571
24.3333	67.6667	5	7719.1	1146.8	0.104488	0.994526	0.994526	-0.104488
30	56.3333	7	5193.08	1019.34	0.423384	-0.90595	-0.90595	-0.423384
19	51.6667	5	6924.15	1033.47	0.0343556	0.99941	0.99941	-0.0343556
20.3333	36.3333	7	11116.5	1462.47	0.0181909	-0.999835	-0.999835	-0.0181909
16.6667	66.6667	2	9263.08	1605.22	0.0356825	0.999363	0.999363	-0.0356825
30.6667	31.3333	5	5528.4	1431	0.431115	-0.902297	-0.902297	-0.431115
34	10	0	0	0	1	0	0	1
38	2	0	0	0	1	0	0	1
34.6667	18	0	10301.6	455.192	0.113267	0.993565	0.993565	-0.113267
33	15	0	4111.58	248.4	0.273825	0.96178	0.96178	-0.273825
36.3333	18	0	9727.18	127.067	0.00637868	0.99998	0.99998	-0.00637868
33.6667	22	11	12331.2	890.597	0.0542696	0.998526	0.998526	-0.0542696
38	8	0	0	0	1	0	0	1
34	4	0	0	0	1	0	0	1
40	10	0	0	0	1	0	0	1
44	8	0	0	0	1	0	0	1
40	18	0	5455.82	144.763	0.0388383	-0.999246	-0.999246	-0.0388383
38.6667	15	0	3373.72	83.737	0.00897278	-0.99996	-0.99996	-0.00897278
45	14.3333	0	902.405	18.529	0.168131	0.985765	0.985765	-0.168131
42.3333	17.3333	0	2952.1	111.967	0.0106039	-0.999944	-0.999944	-0.0106039
44	2	0	0	0	1	0	0	1
40	4	0	0	0	1	0	0	1
36.3333	22.3333	13	10365.8	496.451	0.0204183	-0.999792	-0.999792	-0.0204183
34.6667	26	6	3713.9	1880.84	0.412684	-0.910874	-0.910874	-0.412684
34.6667	23.3333	11	9162.33	707.484	0.078314	-0.996929	-0.996929	-0.078314
32.3333	32	13	5415.16	2586.09	0.170494	-0.985359	-0.985359	-0.170494
33.3333	30.6667	13	3840.69	3404.73	0.742602	0.669733	0.669733	-0.742602
36.3333	30.3333	2	3859.43	1997.15	0.605605	0.795766	0.795766	-0.605605
34	33.6667	6	4454.96	1729.73	0.0851655	0.996367	0.996367	-0.0851655
37	28	2	2145.62	1922.46	0.420924	-0.907096	-0.907096	-0.420924
33	26.6667	6	4315.85	1832.57	0.170411	-0.985373	-0.985373	-0.170411
41.6667	22.3333	9	4315.48	538.684	0.205384	0.978682	0.978682	-0.205384
43.3333	20.6667	3	3814.19	325.869	0.0872152	0.996189	0.996189	-0.0872152
